"ISSN" "titulo" "estrato" "ISSN2"
"75" "1679-9283" "ACTA SCIENTIARUM. BIOLOGICAL SCIENCES" "B4" "16799283"
"76" "1679-9283" "ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (IMPRESSO)" "B4" "16799283"
"77" "1807-863X" "ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (ONLINE)" "B4" "1807863X"
"78" "1679-9291" "ACTA SCIENTIARUM. HEALTH SCIENCES (IMPRESSO)" "B5" "16799291"
"79" "1806-2563" "ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO)" "B3" "18062563"
"80" "1807-8664" "ACTA SCIENTIARUM. TECHNOLOGY (ONLINE)" "B3" "18078664"
"81" "1982-422X" "ACTA TECNOLÓGICA" "C" "1982422X"
"82" "0001-7051" "ACTA THERIOLOGICA" "B2" "00017051"
"83" "0327-9286" "ACTA TOXICOLÓGICA ARGENTINA" "C" "03279286"
"84" "0001-706X" "ACTA TROPICA" "B1" "0001706X"
"85" "1981-5484" "ACTA VETERINARIA BRASILICA" "B5" "19815484"
"86" "1981-5484" "ACTA VETERINARIA BRASILICA (UFERSA)" "B5" "19815484"
"87" "0065-1737" "ACTA ZOOLÓGICA MEXICANA" "B5" "00651737"
"88" "1463-6395" "ACTA ZOOLOGICA ONLINE" "B2" "14636395"
"89" "0001-7272" "ACTA ZOOLOGICA (STOCKHOLM)" "B2" "00017272"
"90" "2357-8068" "ACTAPESCA" "C" "23578068"
"91" "2253-9727" "ACTAS IBEROAMERICANAS DE CONSERVACION ANIMAL" "C" "22539727"
"92" "1280-8571" "ADANSONIA" "B4" "12808571"
"93" "2177-5281" "ADOLESCÊNCIA & SAÚDE" "C" "21775281"
"94" "1572-8757" "ADSORPTION (DORDRECHT. ONLINE)" "B1" "15728757"
"95" "2251-7308" "ADVANCED PHARMACEUTICAL BULLETIN" "C" "22517308"
"96" "1314-7668" "ADVANCED STUDIES IN BIOLOGY" "C" "13147668"
"97" "1615-4150" "ADVANCED SYNTHESIS & CATALYSIS (PRINT)" "A1" "16154150"
"98" "2162-2183" "ADVANCES IN BIOLOGICAL CHEMISTRY." "C" "21622183"
