"ISSN" "titulo" "estrato" "ISSN2"
"678" "0717-9200" "BOSQUE" "B3" "07179200"
"679" "0304-8799" "BOSQUE (VALDIVIA. IMPRESA)" "B3" "03048799"
"680" "1437-4323" "BOTANICA MARINA" "B1" "14374323"
"681" "1437-4323" "BOTANICA MARINA" "B1" "14374323"
"682" "0006-8055" "BOTANICA MARINA (PRINT)" "B1" "00068055"
"683" "0024-4074" "BOTANICAL JOURNAL OF THE LINNEAN SOCIETY" "A2" "00244074"
"684" "0024-4074" "BOTANICAL JOURNAL OF THE LINNEAN SOCIETY (PRINT)" "A2" "00244074"
"685" "1817-406X" "BOTANICAL STUDIES" "B2" "1817406X"
"686" "1916-2804" "BOTANY (OTTAWA. ONLINE)" "B1" "19162804"
"687" "1916-2790" "BOTANY (OTTAWA. PRINT)" "B1" "19162790"
"688" "0006-8241" "BOTHALIA (PRETORIA)" "B3" "00068241"
"689" "0265-086X" "BRADLEYA" "B4" "0265086X"
"690" "1678-4499" "BRAGANTIA." "B2" "16784499"
"691" "0006-8705" "BRAGANTIA (SO PAULO, SP. IMPRESSO)" "B2" "00068705"
"692" "1421-9743" "BRAIN, BEHAVIOR AND EVOLUTION" "A2" "14219743"
"693" "1516-8913" "BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY (IMPRESSO)" "B3" "15168913"
"694" "1678-4324" "BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY (ONLINE)" "B3" "16784324"
"695" "2178-6011" "BRAZILIAN DENTAL SCIENCE" "C" "21786011"
"696" "2179-2321" "BRAZILIAN GEOGRAPHICAL JOURNAL: GEOSCIENCES AND HUMANITIES RESEARCH MEDIUM" "C" "21792321"
"697" "2179-2321" "BRAZILIAN GEOPRAPHICAL JOURNAL:" "C" "21792321"
"698" "2179-3425" "BRAZILIAN JOURNAL OF ANALYTICAL CHEMISTRY (PRINT)" "B5" "21793425"
"699" "1808-7035" "BRAZILIAN JOURNAL OF AQUATIC SCIENCE AND TECHNOLOGY (IMPRESSO)" "C" "18087035"
"700" "2358-2731" "BRAZILIAN JOURNAL OF BIOLOGICAL SCIENCES" "C" "23582731"
"701" "1519-6984" "BRAZILIAN JOURNAL OF BIOLOGY" "B3" "15196984"
"702" "1519-6984" "BRAZILIAN JOURNAL OF BIOLOGY" "B3" "15196984"
"703" "1519-6984" "BRAZILIAN JOURNAL OF BIOLOGY (IMPRESSO)" "B3" "15196984"
"704" "1678-4375" "BRAZILIAN JOURNAL OF BIOLOGY (ONLINE)" "B3" "16784375"
"705" "1806-9959" "BRAZILIAN JOURNAL OF BOTANY" "B2" "18069959"
"706" "1806-9959" "BRAZILIAN JOURNAL OF BOTANY" "B2" "18069959"
"707" "1516-5868" "BRAZILIAN JOURNAL OF ECOLOGY (IMPRESSO)" "C" "15165868"
"708" "1981-6723" "BRAZILIAN JOURNAL OF FOOD TECHNOLOGY (ONLINE)" "C" "19816723"
"709" "2317-4889" "BRAZILIAN JOURNAL OF GEOLOGY" "B5" "23174889"
"710" "1414-431X" "BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH" "B2" "1414431X"
"711" "1414-431X" "BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH" "B2" "1414431X"
"712" "2317-3386" "BRAZILIAN JOURNAL OF MEDICINE AND HUMAN HEALTH" "C" "23173386"
"713" "1517-8382" "BRAZILIAN JOURNAL OF MICROBIOLOGY" "B3" "15178382"
"714" "1517-8382" "BRAZILIAN JOURNAL OF MICROBIOLOGY" "B3" "15178382"
"715" "1517-8382" "BRAZILIAN JOURNAL OF MICROBIOLOGY (IMPRESSO)" "B3" "15178382"
"716" "1678-4405" "BRAZILIAN JOURNAL OF MICROBIOLOGY (ONLINE)" "B3" "16784405"
"717" "1679-8759" "BRAZILIAN JOURNAL OF OCEANOGRAPHY (IMPRESSO)" "B3" "16798759"
"718" "1982-436X" "BRAZILIAN JOURNAL OF OCEANOGRAPHY (ONLINE)" "B3" "1982436X"
"719" "1982-0593" "BRAZILIAN JOURNAL OF PETROLEUM AND GAS" "C" "19820593"
"720" "1984-8250" "BRAZILIAN JOURNAL OF PHARMACEUTICAL SCIENCES" "B4" "19848250"
"721" "1984-8250" "BRAZILIAN JOURNAL OF PHARMACEUTICAL SCIENCES (IMPRESSO)" "B4" "19848250"
"722" "2175-9790" "BRAZILIAN JOURNAL OF PHARMACEUTICAL SCIENCES (ONLINE)" "B4" "21759790"
"723" "1677-0420" "BRAZILIAN JOURNAL OF PLANT PHYSIOLOGY (IMPRESSO)" "B2" "16770420"
"724" "2317-4404" "BRAZILIAN JOURNAL OF SURGERY AND CLINICAL RESEARCH" "C" "23174404"
"725" "1983-0246" "BRAZILIAN JOURNAL OF VETERINARY PATHOLOGY" "B4" "19830246"
"726" "1413-9596" "BRAZILIAN JOURNAL OF VETERINARY RESEARCH AND ANIMAL SCIENCE (IMPRESSO)" "B4" "14139596"
"727" "1678-4456" "Brazilian Journal of Veterinary Research and Animal Science (Online)" "B4" "16784456"
"728" "2231-2927" "BRITISH BIOTECHNOLOGY JOURNAL" "C" "22312927"
"729" "0264-3405" "BRITISH CACTUS & SUCCULENT JOURNAL" "C" "02643405"
"730" "2231-0843" "BRITISH JOURNAL OF APPLIED SCIENCE & TECHNOLOGY" "C" "22310843"
"731" "2231-0614" "BRITISH JOURNAL OF MEDICINE AND MEDICAL RESEARCH" "C" "22310614"
"732" "0007-1145" "BRITISH JOURNAL OF NUTRITION" "B1" "00071145"
"733" "2231-2919" "BRITISH JOURNAL OF PHARMACEUTICAL RESEARCH" "C" "22312919"
"734" "1938-436X" "BRITTONIA" "B2" "1938436X"
"735" "0007-196X" "BRITTONIA (BRONX)" "B2" "0007196X"
"736" "0007-196X" "BRITTONIA (BRONX, N.Y.)" "B2" "0007196X"
"737" "2381-9677" "BRYOPHYTE DIVERSITY AND EVOLUTION" "C" "23819677"
"738" "1925-1939" "BT RESEARCH" "C" "19251939"
"739" "1925-1939" "BT RESEARCH" "C" "19251939"
"740" "0125-6726" "BUFFALO BULLETIN" "B5" "01256726"
"741" "0037-928X" "BULLETIN DE LA SOCIÉTÉ ENTOMOLOGIQUE DE FRANCE" "C" "0037928X"
"742" "0037-9409" "BULLETIN DE LA SOCIÉTÉ GÉOLOGIQUE DE FRANCE" "B3" "00379409"
"743" "0007-4853" "BULLETIN OF ENTOMOLOGICAL RESEARCH" "A2" "00074853"
"744" "0007-4861" "BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY" "B2" "00074861"
"745" "1721-8861" "BULLETIN OF INSECTOLOGY" "B1" "17218861"
"746" "0007-4977" "BULLETIN OF MARINE SCIENCE" "B1" "00074977"
"747" "0250-4707" "BULLETIN OF MATERIALS SCIENCE" "B3" "02504707"
"748" "0003-0090" "BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY" "A1" "00030090"
"749" "0007-1595" "BULLETIN OF THE BRITISH ORNITHOLOGISTS' CLUB" "B3" "00071595"
"750" "0027-4100" "BULLETIN OF THE MUSEUM OF COMPARATIVE ZOOLOGY" "C" "00274100"
"751" "1881-9060" "BULLETIN OF THE NATIONAL MUSEUM OF NATURE AND SCIENCE. SERIES B, BOTANY" "C" "18819060"
"752" "0042-9686" "BULLETIN OF THE WORLD HEALTH ORGANIZATION (PRINT)" "B1" "00429686"
"753" "0007-5167" "BULLETIN OF ZOOLOGICAL NOMENCLATURE" "C" "00075167"
"754" "0525-1931" "BUNSEKI KAGAKU" "B4" "05251931"
"755" "2047-0398" "BUSINESS MANAGEMENT REVIEW (BMR)" "C" "20470398"
"756" "1938-288X" "CACTUS AND SUCCULENT JOURNAL" "C" "1938288X"
"757" "1983-8239" "CADERNO CRH (ONLINE)" "C" "19838239"
"758" "1517-1353" "CADERNO DE ENSINO, PESQUISA E EXTENSO (UFSM)" "C" "15171353"
"759" "2316-5952" "CADERNO DE ESTUDOS E PESQUISAS DO TURISMO" "C" "23165952"
"760" "2176-0152" "CADERNO DE ESTUDOS E PESQUISAS FOCO" "C" "21760152"
"761" "1980-6272" "CADERNO DE INICIAÇO À PESQUISA (UNIVILLE)" "C" "19806272"
"762" "1677-5600" "CADERNO DE PESQUISA. SÉRIE BIOLOGIA (UNISC)" "C" "16775600"
"763" "2176-5774" "CADERNO PRUDENTINO DE GEOGRAFIA" "C" "21765774"
"764" "1677-6976" "CADERNO VIRTUAL DE TURISMO (UFRJ)" "C" "16776976"
"765" "1982-4440" "CADERNOS DA PEDAGOGIA (UFSCAR. ONLINE)" "C" "19824440"
"766" "2236-7934" "CADERNOS DE AGROECOLOGIA" "C" "22367934"
"767" "2236-7934" "CADERNOS DE AGROECOLOGIA" "C" "22367934"
"768" "0104-1096" "CADERNOS DE CIÊNCIA & TECNOLOGIA" "C" "01041096"
"769" "1980-5861" "CADERNOS DE CULTURA E CIÊNCIA (URCA)" "C" "19805861"
"770" "2238-4960" "CADERNOS DE GEOCIÊNCIAS" "C" "22384960"
"771" "1809-7634" "CADERNOS DE HISTÓRIA DA CIÊNCIA" "C" "18097634"
"772" "0104-9712" "CADERNOS DE LINGUAGEM E SOCIEDADE" "B5" "01049712"
"773" "0102-4175" "CADERNOS DE PESQUISA (UFMA)" "C" "01024175"
"774" "2317-0026" "CADERNOS DE PROSPECÇO" "C" "23170026"
"775" "2317-0026" "CADERNOS DE PROSPECÇO" "C" "23170026"
"776" "0102-311X" "CADERNOS DE SAÚDE PÚBLICA (ENSP. IMPRESSO)" "B3" "0102311X"
"777" "1678-4464" "CADERNOS DE SAÚDE PÚBLICA (ONLINE)" "B3" "16784464"
"778" "1806-9118" "CADERNOS DO LEPAARQ (UFPEL)" "C" "18069118"
"779" "2358-291X" "CADERNOS SAÚDE COLETIVA" "C" "2358291X"
"780" "1676-6024" "CADERNOS TÉCNICOS DE VETERINÁRIA E ZOOTECNIA (UFMG)" "C" "16766024"
"781" "1809-9475" "CADERNOS UNIFOA (IMPRESSO)" "C" "18099475"
"782" "0007-9723" "CAHIERS DE BIOLOGIE MARINE" "B2" "00079723"
"783" "1624-1940" "CAHIERS MAGELLANES" "C" "16241940"
"784" "0366-5232" "CALDASIA (BOGOTÁ)" "B3" "03665232"
"785" "2359-0599" "CAMINHO ABERTO: REVISTA DE EXTENSO DO IFSC" "C" "23590599"
"786" "1678-6343" "CAMINHOS DE GEOGRAFIA (UFU)" "C" "16786343"
"787" "1809-6271" "CAMPO - TERRITÓRIO" "C" "18096271"
"788" "1981-092X" "CAMPO DIGIT@L (FACULDADE INTEGRADO DE CAMPO MOURO)" "C" "1981092X"
"789" "0008-347X" "CANADIAN ENTOMOLOGIST" "B2" "0008347X"
"790" "0008-4026" "CANADIAN JOURNAL OF BOTANY" "B1" "00084026"
"791" "1480-3305" "CANADIAN JOURNAL OF BOTANY (ONLINE)" "B1" "14803305"
"792" "0008-4026" "CANADIAN JOURNAL OF BOTANY (PRINT) (CESSOU EM 2007. CONT. ISSN 1916-2790 BOTANY (OTTAWA. PRINT))" "B1" "00084026"
"793" "0706-652X" "CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES (PRINT)" "A1" "0706652X"
"794" "1480-3275" "CANADIAN JOURNAL OF MICROBIOLOGY (ONLINE)" "B3" "14803275"
"795" "0008-4212" "CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY (PRINT)" "B2" "00084212"
"796" "0008-4220" "CANADIAN JOURNAL OF PLANT SCIENCE" "B1" "00084220"
"797" "1480-3283" "CANADIAN JOURNAL OF ZOOLOGY (ONLINE)" "A2" "14803283"
"798" "0008-4301" "CANADIAN JOURNAL OF ZOOLOGY (PRINT)" "A2" "00084301"
"799" "1712-8056" "CANADIAN SOCIAL SCIENCE" "C" "17128056"
"800" "2210-7762" "CANCER GENETICS" "B2" "22107762"
"801" "0373-2967" "CANDOLLEA (GENÈVE)" "B3" "03732967"
"802" "1478-2677" "CANID NEWS (ONLINE)" "C" "14782677"
"803" "0144-8617" "CARBOHYDRATE POLYMERS" "A2" "01448617"
"804" "1758-3004" "CARBON MANAGEMENT" "B2" "17583004"
"805" "2326-7119" "CARIBBEAN NATURALIST SPECIAL ISSUES" "C" "23267119"
"806" "1421-976X" "CARIES RESEARCH (ONLINE)" "B1" "1421976X"
"807" "0008-7114" "CARYOLOGIA (FIRENZE)" "B2" "00087114"
"808" "1027-2992" "CAT NEWS (BOUGY)" "C" "10272992"
"809" "0341-8162" "CATENA (CREMLINGEN)" "A2" "03418162"
"810" "2179-4588" "CCNEXT - REVISTA DE EXTENSO DA UFSM" "C" "21794588"
"811" "1432-0878" "CELL & TISSUE RESEARCH (INTERNET)" "B2" "14320878"
"812" "0302-766X" "CELL AND TISSUE RESEARCH (PRINT)" "B2" "0302766X"
"813" "1065-6995" "CELL BIOLOGY INTERNATIONAL (PRINT)" "B3" "10656995"
"814" "1355-8145" "CELL STRESS & CHAPERONES (PRINT)" "B1" "13558145"
"815" "1422-6405" "CELLS TISSUES ORGANS" "B3" "14226405"
"816" "0008-8749" "CELLULAR IMMUNOLOGY (PRINT)" "B2" "00088749"
"817" "1462-5822" "CELLULAR MICROBIOLOGY" "A2" "14625822"
"818" "1462-5814" "CELLULAR MICROBIOLOGY (PRINT)" "A2" "14625814"
"819" "0100-0845" "CENTRO DE PESQUISAS DO CACAU. BOLETIM TECNICO" "C" "01000845"
"820" "0104-7760" "CERNE (UFLA)" "B4" "01047760"
"821" "2178-7662" "CERRADO AGROCIÊNCIA" "C" "21787662"
"822" "2178-7662" "CERRADO AGROCIÊNCIAS" "C" "21787662"
"823" "1900-9607" "CES MEDICINA VETERINARIA Y ZOOTECNIA" "B5" "19009607"
"824" "0102-1109" "CES REVISTA (CES/JF. IMPRESSO)" "C" "01021109"
"825" "1983-1625" "CES REVISTA (ONLINE)" "C" "19831625"
"826" "1809-127X" "CHECK LIST" "B3" "1809127X"
"827" "1809-127X" "CHECK LIST, JOURNAL OF SPICIES LIST AND DISTRIBUTION" "B3" "1809127X"
"828" "1809-127X" "CHECK LIST (SO PAULO)" "B3" "1809127X"
"829" "1809-127X" "CHECK LIST (SO PAULO. ONLINE)" "B3" "1809127X"
"830" "1809-127X" "CHECK LIST (UNESP)" "B3" "1809127X"
"831" "1809-127X" "CHECKLIST" "B3" "1809127X"
"832" "1809-127X" "CHEK LIST" "B3" "1809127X"
"833" "1071-8443" "CHELONIAN CONSERVATION AND BIOLOGY" "B2" "10718443"
"834" "1088-7105" "CHELONIAN RESEARCH MONOGRAPHS" "C" "10887105"
"835" "2196-5641" "CHEMICAL AND BIOLOGICAL TECHNOLOGIES IN AGRICULTURE" "C" "21965641"
"836" "1747-0277" "CHEMICAL BIOLOGY & DRUG DESIGN (PRINT)" "B1" "17470277"
"837" "1359-7345" "CHEMICAL COMMUNICATIONS (LONDON. 1996. PRINT)" "B1" "13597345"
"838" "1385-8947" "CHEMICAL ENGINEERING JOURNAL (1996)" "A1" "13858947"
"839" "1974-9791" "CHEMICAL ENGINEERING TRANSACTIONS" "B2" "19749791"
"840" "0366-6352" "CHEMICAL PAPERS (PRINT)" "B2" "03666352"
"841" "0009-2797" "CHEMICO-BIOLOGICAL INTERACTIONS" "B2" "00092797"
"842" "0009-2797" "CHEMICO-BIOLOGICAL INTERACTIONS (PRINT)" "B2" "00092797"
"843" "0947-6539" "CHEMISTRY - A EUROPEAN JOURNAL" "A1" "09476539"
"844" "1612-1880" "CHEMISTRY & BIODIVERSITY" "B3" "16121880"
"845" "1612-1872" "CHEMISTRY & BIODIVERSITY (PRINT)" "B3" "16121872"
"846" "0009-3084" "CHEMISTRY AND PHYSICS OF LIPIDS (PRINT)" "B1" "00093084"
"847" "1752-153X" "CHEMISTRY CENTRAL JOURNAL" "B2" "1752153X"
"848" "0009-3130" "CHEMISTRY OF NATURAL COMPOUNDS" "B4" "00093130"
"849" "0937-7409" "CHEMOECOLOGY (PRINTED ED.)" "B1" "09377409"
"850" "1465-9972" "CHEMOSPHERE. GLOBAL CHANGE SCIENCE" "A2" "14659972"
"851" "0045-6535" "CHEMOSPHERE (OXFORD)" "A2" "00456535"
"852" "0718-5839" "CHILEAN JOURNAL OF AGRICULTURAL RESEARCH (ON LINE)" "B3" "07185839"
"853" "1993-5005" "CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY" "C" "19935005"
"854" "1891-5426" "CHIRONOMUS NEWSLETTER ON CHIRONOMIDAE RESEARCH" "C" "18915426"
"855" "1413-4403" "CHIROPTERA NEOTROPICAL" "C" "14134403"
"856" "0009-5915" "CHROMOSOMA (BERLIN. PRINT)" "B1" "00095915"
"857" "0967-3849" "CHROMOSOME RESEARCH" "B2" "09673849"
"858" "2253-6280" "CHRONICA NATURAE" "C" "22536280"
"859" "1676-4188" "CIÊNCIA & AMBIENTE" "C" "16764188"
"860" "1980-850X" "CIÊNCIA & EDUCAÇO" "B5" "1980850X"
"861" "1413-8123" "CIÊNCIA & SAÚDE COLETIVA (ONLINE)" "B3" "14138123"
"862" "1983-652X" "CIÊNCIA & SAÚDE (PORTO ALEGRE)" "C" "1983652X"
"863" "1809-6891" "CIÊNCIA ANIMAL BRASILEIRA" "B5" "18096891"
"864" "1809-6891" "CIÊNCIA ANIMAL BRASILEIRA (ONLINE)" "B5" "18096891"
"865" "1089-6891" "CIÊNCIA ANIMAL BRASILEIRA (ONLINE)" "B5" "10896891"
"866" "1518-2797" "CIÊNCIA ANIMAL BRASILEIRA (UFG)" "B5" "15182797"
"867" "1984-7513" "CIÊNCIA, CUIDADO E SAÚDE (ONLINE)" "C" "19847513"
"868" "1981-1829" "CIÊNCIA E AGROTECNOLOGIA (ONLINE)" "B2" "19811829"
"869" "1413-7054" "CIÊNCIA E AGROTECNOLOGIA (UFLA)" "B2" "14137054"
"870" "0009-6725" "CIÊNCIA E CULTURA" "C" "00096725"
"871" "2317-6660" "CIÊNCIA E CULTURA" "C" "23176660"
"872" "1980-0029" "CIÊNCIA E CULTURA (BARRETOS)" "C" "19800029"
"873" "1516-7313" "CIÊNCIA E EDUCAÇO (UNESP)" "B5" "15167313"
"874" "1516-7313" "CIÊNCIA E EDUCAÇO (UNESP. IMPRESSO)" "B5" "15167313"
"875" "2179-460X" "CIÊNCIA E NATURA" "C" "2179460X"
"876" "0100-8307" "CIÊNCIA E NATURA" "C" "01008307"
"877" "1413-8123" "CIÊNCIA E SAÚDE COLETIVA (IMPRESSO)" "B3" "14138123"
"878" "1413-8123" "CIÊNCIA E SAÚDE COLETIVA (IMPRESSO)" "B3" "14138123"
"879" "0254-0223" "CIÊNCIA E TÉCNICA VITIVINÍCOLA" "B4" "02540223"
"880" "0101-2061" "CIÊNCIA E TECNOLOGIA DE ALIMENTOS (IMPRESSO)" "B3" "01012061"
"881" "1678-457X" "CIÊNCIA E TECNOLOGIA DE ALIMENTOS (ONLINE)" "B3" "1678457X"
"882" "0103-9954" "CIÊNCIA FLORESTAL" "B3" "01039954"
"883" "1980-5098" "CIÊNCIA FLORESTAL (ONLINE)" "B3" "19805098"
"884" "0103-9954" "CIÊNCIA FLORESTAL (UFSM. IMPRESSO)" "B3" "01039954"
"885" "0101-8515" "CIÊNCIA HOJE" "C" "01018515"
"886" "0103-2054" "CIENCIA HOJE DAS CRIANCAS" "C" "01032054"
"887" "0103-2054" "CIÊNCIA HOJE DAS CRIANÇAS" "C" "01032054"
"888" "1678-4596" "CIENCIA RURAL" "B3" "16784596"
"889" "0103-8478" "CIÊNCIA RURAL" "B3" "01038478"
"890" "1678-4596" "CIÊNCIA RURAL" "B3" "16784596"
"891" "1678-4596" "CIÊNCIA RURAL" "B3" "16784596"
"892" "0103-8478" "CIÊNCIA RURAL (UFSM. IMPRESSO)" "B3" "01038478"
"893" "1415-6326" "CIÊNCIA VETERINÁRIA NOS TRÓPICOS" "C" "14156326"
"894" "0185-3880" "CIENCIAS MARINAS" "B2" "01853880"
"895" "1984-9710" "CIENTEC: REVISTA DE CIÊNCIA, TECNOLOGIA E HUMANIDADES DO IFPE (ONLINE)" "C" "19849710"
"896" "1984-5529" "CIENTÍFICA (JABOTICABAL. ONLINE)" "C" "19845529"
"897" "2236-3122" "CITRUS RESEARCH & TECHNOLOGY" "C" "22363122"
"898" "2236-3122" "CITRUS RESEARCH & TECNOLOGY" "C" "22363122"
"899" "0748-3007" "CLADISTICS (WESTPORT. PRINT)" "A2" "07483007"
"900" "0930-7575" "CLIMATE DYNAMICS" "A1" "09307575"
"901" "0936-577X" "CLIMATE RESEARCH" "B2" "0936577X"
"902" "0165-0009" "CLIMATIC CHANGE" "A2" "01650009"
"903" "1573-1480" "CLIMATIC CHANGE (ONLINE)" "A2" "15731480"
"904" "1413-571X" "CLÍNICA VETERINÁRIA" "C" "1413571X"
"905" "1976-8710" "CLINICAL AND EXPERIMENTAL OTORHINOLARYNGOLOGY (PRINT)" "C" "19768710"
"906" "1058-4838" "CLINICAL INFECTIOUS DISEASES" "A1" "10584838"
"907" "0893-8512" "CLINICAL MICROBIOLOGY REVIEWS (PRINT)" "B1" "08938512"
"908" "1436-3771" "CLINICAL ORAL INVESTIGATIONS (PRINT)" "B1" "14363771"
"909" "0143-5221" "CLINICAL SCIENCE (1979)" "B1" "01435221"
"910" "1740-7745" "CLINICAL TRIALS (LONDON. PRINT)" "B2" "17407745"
"911" "1980-5322" "CLINICS" "C" "19805322"
"912" "0102-6003" "CLIO. SÉRIE ARQUEOLÓGICA (UFPE)" "C" "01026003"
"913" "2168-9849" "CLONING & TRANSGENESIS" "C" "21689849"
"914" "1809-6875" "COFFEE SCIENCE" "B4" "18096875"
"915" "2331-1843" "COGENT ENVIROMENTAL SCIENCE (ONLINE)" "C" "23311843"
"916" "2331-1843" "COGENT ENVIRONMENTAL SCIENCE" "C" "23311843"
"917" "2176-9133" "COGITARE ENFERMAGEM" "C" "21769133"
"918" "1984-6002" "COLEÇO TEXTOS FCC (IMPRESSO)" "C" "19846002"
"919" "1021-5212" "COLLECTIVE VOLUME OF SCIENTIFIC PAPERS - INTERNATIONAL COMMISSION FOR THE CONSERVATION OF ATLANTIC TUNAS" "C" "10215212"
"920" "1997-1990" "COLLECTIVE VOLUME OF SCIENTIFIC PAPERS (INTERNATIONAL COMMISSION FOR THE CONSERVATION OF ATLANTIC TUNAS. ONLINE)" "C" "19971990"
"921" "0927-7757" "COLLOIDS AND SURFACES. A, PHYSICOCHEMICAL AND ENGINEERING ASPECTS (PRINT)" "B1" "09277757"
"922" "0927-7765" "COLLOIDS AND SURFACES. B, BIOINTERFACES (PRINT)" "A2" "09277765"
"923" "2048-0792" "COMICS GRID: JOURNAL OF COMICS SCHOLARSHIP" "C" "20480792"
"924" "1007-5704" "COMMUNICATIONS IN NONLINEAR SCIENCE & NUMERICAL SIMULATION" "B1" "10075704"
"925" "2237-4027" "COMMUNICATIONS IN PLANT SCIENCES" "C" "22374027"
"926" "0010-3624" "COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS" "B1" "00103624"
"927" "1585-8553" "COMMUNITY ECOLOGY (PRINT)" "B2" "15858553"
"928" "1532-0456" "COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY. C. TOXICOLOGY & PHARMACOLOGY" "B1" "15320456"
"929" "1095-6433" "COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY. PART A, MOLECULAR & INTEGRATIVE PHYSIOLOGY" "A2" "10956433"
"930" "1096-4959" "COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY. PART B: BIOCHEMISTRY & MOLECULAR BIOLOGY (PRINT)" "B1" "10964959"
"931" "1618-5641" "COMPARATIVE CLINICAL PATHOLOGY (PRINT)" "B4" "16185641"
"932" "1993-078X" "COMPARATIVE CYTOGENETICS" "B3" "1993078X"
"933" "1993-0771" "COMPARATIVE CYTOGENETICS (PRINT)" "B3" "19930771"
"934" "0147-9571" "COMPARATIVE IMMUNOLOGY, MICROBIOLOGY AND INFECTIOUS DISEASES" "B2" "01479571"
"935" "1525-2647" "COMPARATIVE PARASITOLOGY" "B2" "15252647"
"936" "2210-271X" "COMPUTATIONAL AND THEORETICAL CHEMISTRY" "B2" "2210271X"
"937" "2220-721X" "COMPUTATIONAL ECOLOGY AND SOFTWARE" "C" "2220721X"
"938" "2165-3453" "COMPUTATIONAL MOLECULAR BIOSCIENCE" "C" "21653453"
"939" "0167-9473" "COMPUTATIONAL STATISTICS & DATA ANALYSIS (PRINT)" "B2" "01679473"
"940" "0168-1699" "COMPUTERS AND ELECTRONICS IN AGRICULTURE" "B1" "01681699"
"941" "0010-4825" "COMPUTERS IN BIOLOGY AND MEDICINE" "B2" "00104825"
"942" "0104-6829" "COMUNICAÇO & EDUCAÇO" "C" "01046829"
"943" "2316-3992" "COMUNICAÇO & MERCADO - REVISTA INTERNACIONAL DE CIÊNCIAS SOCIAIS APLICADAS DA UNIGRAN" "C" "23163992"
"944" "2316-3992" "COMUNICAÇO E MERCADO" "C" "23163992"
"945" "1679-6535" "COMUNICADO TÉCNICO (EMBRAPA AGROINDÚSTRIA TROPICAL. ONLINE)" "C" "16796535"
"946" "1517-2244" "COMUNICADO TÉCNICO (EMBRAPA AMAZÔNIA ORIENTAL. IMPRESSO)" "C" "15172244"
"947" "1517-5030" "COMUNICADO TÉCNICO (EMBRAPA FLORESTAS. IMPRESSO)" "C" "15175030"
"948" "1809-502X" "COMUNICADO TÉCNICO (EMBRAPA MANDIOCA E FRUTICULTURA TROPICAL. ONLINE)" "C" "1809502X"
"949" "1983-0505" "COMUNICADO TÉCNICO 262" "C" "19830505"
"950" "2177-5133" "COMUNICATA SCIENTIAE (ONLINE)" "B4" "21775133"
"951" "2176-9079" "COMUNICATA SCIENTIAE (PRINT)" "B4" "21769079"
"952" "1980-7058" "CONEXO CIÊNCIA (ONLINE)" "C" "19807058"
"953" "2176-7777" "CONEXO SIPAER" "C" "21767777"
"954" "0972-4923" "CONSERVATION AND SOCIETY" "B2" "09724923"
"955" "0888-8892" "CONSERVATION BIOLOGY" "A1" "08888892"
"956" "1523-1739" "CONSERVATION BIOLOGY (ONLINE)" "A1" "15231739"
"957" "1758-2067" "CONSERVATION EVIDENCE" "B5" "17582067"
"958" "1566-0621" "CONSERVATION GENETICS" "A2" "15660621"
"959" "1572-9737" "CONSERVATION GENETICS (DORDRECHT. ONLINE)" "A2" "15729737"
"960" "1877-7252" "CONSERVATION GENETICS RESOURCES" "B3" "18777252"
"961" "1877-7260" "CONSERVATION GENETICS RESOURCES - ONLINE" "B3" "18777260"
"962" "1877-7260" "CONSERVATION GENETICS RESOURCES (ONLINE)" "B3" "18777260"
"963" "1877-7252" "CONSERVATION GENETICS RESOURCES (PRINT)" "B3" "18777252"
"964" "1755-263X" "CONSERVATION LETTERS" "A1" "1755263X"
"965" "0976-237X" "CONTEMPORARY CLINICAL DENTISTRY" "C" "0976237X"
"966" "0278-4343" "CONTINENTAL SHELF RESEARCH" "A2" "02784343"
"967" "1984-7114" "CONTRAPONTOS (ONLINE)" "C" "19847114"
"968" "1988-7833" "CONTRIBUCIONES A LAS CIENCIAS SOCIALES" "C" "19887833"
"969" "0045-8511" "COPEIA" "B1" "00458511"
"970" "1938-5110" "COPEIA (ONLINE)" "B1" "19385110"
"971" "1432-0975" "CORAL REEFS (ONLINE)" "A2" "14320975"
"972" "0722-4028" "CORAL REEFS (PRINT)" "A2" "07224028"
"973" "1353-985X" "COTINGA (SANDY)" "B4" "1353985X"
"974" "2151-4771" "CREATIVE EDUCATION" "C" "21514771"
"975" "2151-4755" "CREATIVE EDUCATION" "C" "21514755"
"976" "0195-6671" "CRETACEOUS RESEARCH (PRINT)" "B1" "01956671"
